Distribution, Votes,Rank,Title
1321,338744,8, Groundhog Day (1993)
1322,116073,8, Yip Man (2008)
1223,33337,8, Fanny och Alexander (1982)
1322,271950,8, Rocky (1976)
1222,136665,8, Before Sunrise (1995)
1222,51912,8, The Night of the Hunter (1955)
1321,148712,8, Dog Day Afternoon (1975)
1321,421494,8, Monsters Inc. (2001)
223,42831,8, Lagaan: Once Upon a Time in India (2001)
1322,628941,8, Pirates of the Caribbean: The Curse of the Black Pearl (2003)
1321,80309,8, La haine (1995)
1222,38195,8, La strada (1954)
1222,28579,8, La battaglia di Algeri (1966)
1222,80645,8, Barry Lyndon (1975)
1222,44919,8, Who's Afraid of Virginia Woolf? (1966)
1321,45779,8, Salinui chueok (2003)
1321,104373,8, Per un pugno di dollari (1964)
1222,53898,8, The Big Sleep (1946)
1322,70745,8, Tenk no shiro Rapyuta (1986)
1321,504757,8, The Truman Show (1998)
1321,251003,8, The Help (2011)
1221,175440,8, The Graduate (1967)
1222,76977,8, Roman Holiday (1953)
1221,222106,8, Her (2013)
1311,421251,8, Jurassic Park (1993)
1321,51334,8, The Hustler (1961)
1222,56972,8, Festen (1998)
1212,231966,8, Beauty and the Beast (1991)
1222,60495,8, Fa yeung nin wa (2000)
1321,79483,8, Rope (1948)
1222,38781,8, Stalag 17 (1953)
1221,521468,8, Slumdog Millionaire (2008)
1321,51792,8, The Killing (1956)
1321,74404,8, Papillon (1973)
1222,128702,8, Before Sunset (2004)
1213,92923,8, A Christmas Story (1983)
1321,243057,8, Prisoners (2013)
1222,49328,8, Bom yeoreum gaeul gyeoul geurigo bom (2003)
1321,322924,8, Blood Diamond (2006)
6000000002,29073,1.9, Manos: The Hands of Fate (1966)
6000000002,22703,1.9, Superbabies: Baby Geniuses 2 (2004)
6000000001,11200,1.9, Dnyayi Kurtaran Adam'in oglu (2006)
5100000001,9245,1.9, Going Overboard (1989)
7000000001,5027,1.9, Emret Komutanim: Sah Mat (2007)
6000000000,66759,1.9, Disaster Movie (2008)
7000000000,31075,1.9, The Hottie & the Nottie (2008)
7000000001,6604,1.8, Keloglan kara prens'e karsi (2006)
6000000001,9290,1.8, Birdemic: Shock and Terror (2010)
8000000000,49354,1.8, Gunday (2014)
